1. Arts the Beatdoctor - Transitions = Mood: Deep, Melancholic | Time: Night | Energy: Calm, Dreamy
2. Kanye West - MBDTF = Mood: Euphoric, Angry | Time: Night | Energy: Energetic, Groovy
3. Kendrick Lamar - good kid mAAd city = Mood: Deep, Sad | Time: Night | Energy: Groovy, Dark
4. Apollo Brown - Clouds = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Calm, Cozy
5. Wu-Tang Clan - 36 Chambers = Mood: Angry, Euphoric | Time: Night | Energy: Aggressive, Groovy
6. Кровосток - Студень = Mood: Eerie, Deep | Time: Night | Energy: Dark, Weird
7. Method Man & Redman - Blackout! = Mood: Euphoric, Angry | Time: Night | Energy: Energetic, Groovy
8. Snoop Dogg - Doggystyle = Mood: Euphoric | Time: Day | Energy: Groovy, Cozy
9. Nas - Illmatic = Mood: Deep, Melancholic | Time: Night | Energy: Groovy, Dark
10. Black Star - Black Star = Mood: Euphoric, Deep | Time: Day | Energy: Groovy, Cozy
11. Army of the Pharaohs - Ritual of Battle = Mood: Angry | Time: Night | Energy: Aggressive, Energetic
12. Run the Jewels - RTJ2 = Mood: Angry, Euphoric | Time: Day | Energy: Aggressive, Energetic
13. A$AP Rocky - LiveLoveA$AP = Mood: Trippy, Melancholic | Time: Night | Energy: Dreamy, Groovy
14. ATCQ - Low End Theory = Mood: Euphoric | Time: Day | Energy: Groovy, Cozy
15. Доброе Чувство - Птицу ЕМЪ = Mood: Eerie, Deep | Time: Night | Energy: Dark, Weird
16. Михей и Джуманджи - Сука любовь = Mood: Sad, Nostalgic | Time: Sunset | Energy: Cozy, Calm
17. Mos Def - Black on Both Sides = Mood: Euphoric, Deep | Time: Day | Energy: Groovy, Energetic
18. Mobb Deep - The Infamous = Mood: Angry, Deep | Time: Night | Energy: Dark, Groovy
19. Notorious B.I.G. - Ready to Die = Mood: Deep, Euphoric | Time: Night | Energy: Groovy, Dark
20. Антоха МС - От всей души = Mood: Euphoric, Nostalgic | Time: Day | Energy: Cozy, Groovy
21. Kid Cudi - Man on the Moon = Mood: Trippy, Sad | Time: Night | Energy: Dreamy, Calm
22. Coldcut - True Skool = Mood: Euphoric | Time: Day | Energy: Groovy, Energetic
23. Madlib - Shades of Blue = Mood: Melancholic, Deep | Time: Late Night | Energy: Calm, Cozy
24. Kaytranada - 99.9% = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
25. Run DMC - Raising Hell = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
26. OutKast - Stankonia = Mood: Euphoric, Trippy | Time: Day | Energy: Groovy, Energetic
27. Eminem - The Eminem Show = Mood: Angry | Time: Day | Energy: Aggressive, Energetic
28. MF Doom - Operation Doomsday = Mood: Trippy, Deep | Time: Sunset | Energy: Groovy, Weird
29. Big L - Lifestylez = Mood: Angry | Time: Night | Energy: Aggressive, Groovy
30. 50 Cent - Get Rich or Die Tryin' = Mood: Angry, Euphoric | Time: Day | Energy: Aggressive, Groovy
31. Warren G - Regulate G Funk Era = Mood: Euphoric | Time: Sunset | Energy: Groovy, Cozy
32. Cypress Hill - Cypress Hill = Mood: Trippy, Angry | Time: Night | Energy: Groovy, Dark
33. CunninLynguists - A Piece of Strange = Mood: Deep, Sad | Time: Night | Energy: Dreamy, Calm
34. Yo La Tengo - I Can Hear the Heart = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Cozy, Dreamy
35. Animal Collective - Merriweather = Mood: Euphoric, Trippy | Time: Day | Energy: Energetic, Dreamy
36. The Avalanches - Since I Left You = Mood: Euphoric, Nostalgic | Time: Day | Energy: Groovy, Energetic
37. Beach House - Bloom = Mood: Melancholic, Trippy | Time: Sunset | Energy: Dreamy, Calm
38. Chromatics - Kill for Love = Mood: Melancholic, Sad | Time: Night | Energy: Dark, Dreamy
39. Pulp - Different Class = Mood: Euphoric, Nostalgic | Time: Day | Energy: Groovy, Energetic
40. Elliott Smith - Either/Or = Mood: Sad, Melancholic | Time: Morning | Energy: Calm, Cozy
41. Swans - Children of God = Mood: Eerie, Deep | Time: Night | Energy: Aggressive, Dark
42. Spiritualized - Ladies and Gentlemen = Mood: Trippy, Euphoric | Time: Sunset | Energy: Dreamy, Energetic
43. Ride - Nowhere = Mood: Melancholic, Euphoric | Time: Day | Energy: Dreamy, Energetic
44. The Antlers - Hospice = Mood: Sad | Time: Night | Energy: Calm, Dark
45. Bon Iver - Bon Iver = Mood: Sad, Melancholic | Time: Morning | Energy: Calm, Cozy
46. The Magnetic Fields - 69 Love Songs = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Cozy, Calm
47. Pavement - Crooked Rain = Mood: Euphoric, Nostalgic | Time: Day | Energy: Cozy, Groovy
48. The National - Boxer = Mood: Sad, Melancholic | Time: Night | Energy: Calm, Dark
49. The Stone Roses - The Stone Roses = Mood: Euphoric | Time: Day | Energy: Groovy, Energetic
50. Acid House Kings - Sing Along = Mood: Euphoric, Nostalgic | Time: Morning | Energy: Cozy, Calm
51. Arcade Fire - The Suburbs = Mood: Nostalgic, Melancholic | Time: Sunset | Energy: Energetic, Cozy
52. Aztec Camera - High Land Hard Rain = Mood: Euphoric, Nostalgic | Time: Morning | Energy: Cozy, Energetic
53. Belle and Sebastian - If You're Feeling Sinister = Mood: Melancholic, Nostalgic | Time: Morning | Energy: Cozy, Calm
54. The Church - Starfish = Mood: Trippy, Melancholic | Time: Sunset | Energy: Dreamy, Calm
55. John Coltrane - Blue Train = Mood: Deep, Euphoric | Time: Night | Energy: Energetic, Groovy
56. Eels - Electro-Shock Blues = Mood: Sad, Eerie | Time: Night | Energy: Calm, Dark
57. Donald Fagen - The Nightfly = Mood: Nostalgic, Euphoric | Time: Late Night | Energy: Cozy, Groovy
58. Fleet Foxes - Fleet Foxes = Mood: Nostalgic, Melancholic | Time: Morning | Energy: Cozy, Calm
59. Foxygen - 21st Century Ambassadors = Mood: Euphoric, Trippy | Time: Day | Energy: Groovy, Weird
60. Girls - Father Son Holy Ghost = Mood: Sad, Nostalgic | Time: Sunset | Energy: Cozy, Calm
61. Grizzly Bear - Veckatimest = Mood: Melancholic, Deep | Time: Morning | Energy: Cozy, Dreamy
62. LCD Soundsystem - Sound of Silver = Mood: Euphoric, Melancholic | Time: Night | Energy: Groovy, Energetic
63. Liars - Liars = Mood: Eerie, Angry | Time: Night | Energy: Weird, Aggressive
64. Lightning Bolt - Wonderful Rainbow = Mood: Angry, Euphoric | Time: Day | Energy: Aggressive, Energetic
65. Magazine - Real Life = Mood: Eerie, Deep | Time: Night | Energy: Dark, Groovy
66. Modest Mouse - Lonesome Crowded West = Mood: Angry, Sad | Time: Night | Energy: Energetic, Dark
67. Purity Ring - Shrines = Mood: Trippy, Melancholic | Time: Night | Energy: Dreamy, Dark
68. Royal Blood - Royal Blood = Mood: Angry, Euphoric | Time: Day | Energy: Aggressive, Energetic
69. Savages - Silence Yourself = Mood: Angry, Eerie | Time: Night | Energy: Aggressive, Dark
70. Sisters of Mercy - First and Last and Always = Mood: Melancholic, Eerie | Time: Night | Energy: Dark, Groovy
71. Sixteen Horsepower - Low Estate = Mood: Eerie, Deep | Time: Sunset | Energy: Dark, Calm
